Name,Year Published,Users Rated,Owned Users,Complexity Average,Mechanics
Fulda Gap: The First Battle of the Next War,1977.0,163,461.0,3.26,"Dice Rolling, Hexagon Grid, Simulation"
Napoleon at Eylau,1977.0,126,446.0,2.22,"Dice Rolling, Hexagon Grid, Simulation"
The Battle for Jerusalem 1967,1977.0,34,93.0,2.29,Hexagon Grid
Veracruz: U.S. Invasion of Mexico 1847,1977.0,146,656.0,3.05,"Dice Rolling, Hexagon Grid, Simulation"
The Battle of Raphia,1977.0,95,288.0,1.75,"Dice Rolling, Grid Movement, Hexagon Grid, Simulation"
Mentalis,1977.0,32,44.0,2.33,"Hand Management, Memory, Tile Placement"
Nomad Gods,1977.0,44,116.0,2.86,"Dice Rolling, Hexagon Grid"
A Mighty Fortress,1977.0,105,343.0,3.25,"Hexagon Grid, Variable Player Powers"
The Warlord Game,1977.0,57,127.0,2.86,Hexagon Grid
Red Sun Rising: The Russo-Japanese War 1904-05,1977.0,60,251.0,3.5,Hexagon Grid
Gettysburg,1977.0,314,950.0,3.56,Hexagon Grid
StarSoldier: Tactical Warfare in the 25th Century,1977.0,132,505.0,3.27,"Action Points, Dice Rolling, Hexagon Grid, Line of Sight, Simultaneous Action Selection, Variable Player Powers"
"Yalu: The Chinese Counteroffensive in Korea, November 1950 to May 1951",1977.0,53,155.0,3.09,"Dice Rolling, Grid Movement, Hexagon Grid, Simulation"
"Road to Richmond: The Peninsular Campaign, May-July, 1862",1977.0,109,484.0,1.9,"Dice Rolling, Hexagon Grid, Ratio / Combat Results Table, Zone of Control"
After the Holocaust: The Nuclear Devastation of America - Recovery and Reunification,1977.0,166,498.0,4.03,Hexagon Grid
Waving Hands,1977.0,50,57.0,2.78,"Action Queue, Paper-and-Pencil, Simultaneous Action Selection"
Carrier Strike!,1977.0,277,576.0,1.43,"Card Play Conflict Resolution, Dice Rolling, Grid Movement, Hexagon Grid, Roll / Spin and Move, Secret Unit Deployment"
D-Day (3rd edition),1977.0,390,948.0,2.54,Hexagon Grid
Dungeon Dice,1977.0,401,762.0,1.12,"Dice Rolling, Push Your Luck, Race, Re-rolling and Locking, Set Collection, Take That"
Star Fleet Battle Manual,1977.0,71,181.0,2.0,Simultaneous Action Selection
Leverage,1977.0,190,443.0,1.79,Grid Movement
Conquerors,1977.0,87,275.0,3.23,"Dice Rolling, Hexagon Grid, Simulation"
"Case White: The Invasion of Poland, 1939",1977.0,124,427.0,3.79,"Dice Rolling, Hexagon Grid, Simulation"
Chitin: I,1977.0,208,545.0,1.76,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Three Dimensional Movement"
War Between The States 1861-1865,1977.0,82,292.0,3.78,"Dice Rolling, Hexagon Grid, Simulation"
Bar-Lev: The 1973 Arab-Israeli War,1977.0,49,159.0,3.83,"Dice Rolling, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Zone of Control"
Citadel: The Battle of Dien Bien Phu,1977.0,62,222.0,3.18,"Dice Rolling, Hexagon Grid, Simulation"
The Battle of Agincourt,1978.0,48,147.0,2.5,"Dice Rolling, Grid Movement, Hexagon Grid, Simulation"
Quest,1978.0,30,68.0,1.67,Area Movement
Crossword,1978.0,38,125.0,1.0,Dice Rolling
Black Hole,1978.0,100,347.0,1.7,"Grid Movement, Hexagon Grid, Simulation"
Solferino: 24 Juin 1859,1978.0,31,101.0,2.8,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Zone of Control"
Sudden Death!,1978.0,34,118.0,1.8,"Enclosure, Real-Time, Tile Placement"
Strange New Worlds,1978.0,47,126.0,3.0,Roll / Spin and Move
Up Scope! Tactical Submarine Warfare in the 20th Century,1978.0,52,227.0,3.9,"Dice Rolling, Hexagon Grid"
Lords Of The Middle Sea,1978.0,32,86.0,2.4,"Dice Rolling, Grid Movement, Hexagon Grid, Scenario / Mission / Campaign Game, Simulation, Variable Set-up"
Pyramid,1978.0,45,119.0,1.5,Pattern Building
Overboard,1978.0,69,202.0,1.89,Point to Point Movement
Stomp!,1978.0,78,171.0,1.38,"Hexagon Grid, Rock-Paper-Scissors"
Super 3,1978.0,68,180.0,1.0,"Dice Rolling, Pattern Building"
Energi,1978.0,30,39.0,2.0,Commodity Speculation
Interpol,1978.0,52,151.0,1.5,
Alcazar,1978.0,34,116.0,2.0,Enclosure
Quo Vadis,1978.0,33,41.0,2.0,"Betting and Bluffing, Simultaneous Action Selection"
Descent on Crete: May 1941,1978.0,58,241.0,3.91,"Dice Rolling, Hexagon Grid, Simulation"
1942,1978.0,64,260.0,2.2,"Dice Rolling, Grid Movement, Hexagon Grid, Simulation, Zone of Control"
Lügenbeutel,1978.0,94,211.0,1.36,Hand Management
Merlin,1978.0,99,136.0,1.67,Memory
Off to the Tower,1978.0,88,196.0,1.0,Roll / Spin and Move
Laser Attack,1978.0,69,160.0,1.17,"Pick-up and Deliver, Point to Point Movement"
Hungry Hungry Hippos,1978.0,2361,2568.0,1.05,
Simon,1978.0,1005,800.0,1.26,"Memory, Pattern Recognition"
Battlestar Galactica,1978.0,193,468.0,1.15,Pick-up and Deliver
Word Yahtzee,1978.0,278,866.0,1.61,"Dice Rolling, Pattern Recognition"
Class Struggle,1978.0,192,475.0,1.65,
Armada: The War With Spain 1585-1604,1978.0,176,728.0,3.0,"Dice Rolling, Hexagon Grid, Scenario / Mission / Campaign Game, Simulation, Zone of Control"
Jumbolino,1978.0,56,134.0,1.0,"Dice Rolling, Pattern Recognition"
Foreign Exchange,1978.0,70,302.0,2.78,Commodity Speculation
Smath,1978.0,71,295.0,2.25,Tile Placement
Sniggle!,1978.0,70,223.0,1.13,"Dice Rolling, Roll / Spin and Move"
Smokers Wild,1978.0,76,143.0,1.2,Roll / Spin and Move
Ginny-O,1978.0,42,237.0,1.0,"Pattern Building, Tile Placement"
Close Encounters of the Third Kind,1978.0,59,202.0,1.0,"Roll / Spin and Move, Secret Unit Deployment"
Pirateer,1978.0,1266,2154.0,1.48,"Pick-up and Deliver, Roll / Spin and Move"
"The Battle for Cassino: Assaulting the Gustav Line, 1944",1978.0,146,672.0,3.18,"Dice Rolling, Events, Grid Movement, Hexagon Grid, Line of Sight, Movement Points, Ratio / Combat Results Table, Simulation"
British Square,1978.0,41,97.0,1.25,Enclosure
Knock Out,1978.0,44,132.0,1.63,
Quad-Ominos,1978.0,57,267.0,2.2,Tile Placement
Intercept: The Electronic Search and Destroy Game,1978.0,35,83.0,1.0,"Grid Movement, Secret Unit Deployment"
System 7 Napoleonics,1978.0,34,87.0,2.0,"Dice Rolling, Line of Sight, Measurement Movement, Scenario / Mission / Campaign Game, Simulation"
Panzerkrieg: von Manstein & HeeresGruppe Süd,1978.0,251,874.0,3.21,"Dice Rolling, Hexagon Grid"
T.E.G.: Plan Táctico y Estratégico de la Guerra,1978.0,175,241.0,2.43,"Alliances, Area Majority / Influence, Area Movement, Area-Impulse, Dice Rolling, Player Elimination, Set Collection"
The Crusades: Western Invasions of the Holy Land,1978.0,168,774.0,2.9,"Dice Rolling, Events, Grid Movement, Hexagon Grid, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Team-Based Game"
Sopwith,1978.0,117,220.0,1.75,"Action Queue, Dice Rolling, Hexagon Grid, Simultaneous Action Selection"
Crimean War Battles,1978.0,86,375.0,2.82,"Hexagon Grid, Simulation"
Tannenberg and the Opening Battles in the East 1914,1978.0,164,721.0,3.08,"Hexagon Grid, Simulation"
Stonewall: The Battle of Kernstown,1978.0,178,745.0,3.08,"Dice Rolling, Hexagon Grid"
Atlantic Wall: The Invasion of Europe,1978.0,150,482.0,4.08,"Dice Rolling, Hexagon Grid, Simulation"
Kharkov: The Soviet Spring Offensive,1978.0,222,808.0,2.62,"Dice Rolling, Events, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Zone of Control"
"To the Green Fields Beyond: The Battle of Cambrai, 1917",1978.0,142,625.0,3.69,"Dice Rolling, Hexagon Grid, Moving Multiple Units, Scenario / Mission / Campaign Game, Simulation, Turn Order: Progressive, Zone of Control"
"Operation Typhoon: The German Assault on Moscow, 1941",1978.0,148,437.0,3.63,"Dice Rolling, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Simulation, Zone of Control"
The Sorcerer's Cave,1978.0,372,734.0,1.78,Modular Board
Swords & Sorcery: Quest and Conquest in the Age of Magic,1978.0,239,655.0,3.2,"Action Points, Hexagon Grid, Role Playing, Simulation, Variable Player Powers, Zone of Control"
La Bataille de Preussisch-Eylau,1978.0,142,455.0,3.84,"Dice Rolling, Hexagon Grid"
"Napoleon at Bay: The Campaign in France, 1814",1978.0,232,904.0,3.65,"Dice Rolling, Grid Movement, Hexagon Grid, Simulation"
The Next War: Modern Conflict in Europe,1978.0,210,631.0,4.17,"Dice Rolling, Hexagon Grid, Simulation"
Strat-O-Matic Hockey,1978.0,314,542.0,2.33,Simulation
Battles for the Ardennes,1978.0,273,809.0,2.85,"Dice Rolling, Hexagon Grid, Movement Points, Simulation, Zone of Control"
Source of the Nile,1978.0,584,1494.0,2.85,"Dice Rolling, Events, Hexagon Grid, Paper-and-Pencil, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Variable Set-up"
Fortress Europa,1978.0,572,1727.0,3.2,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Scenario / Mission / Campaign Game, Simulation, Sudden Death Ending, Zone of Control"
Wizard,1978.0,491,1017.0,2.27,"Dice Rolling, Grid Movement, Hexagon Grid, Line of Sight, Role Playing, Scenario / Mission / Campaign Game, Simulation, Variable Player Powers"
G.E.V.,1978.0,843,1724.0,2.3,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Variable Set-up"
Cathedral,1978.0,3228,5802.0,1.8,"Enclosure, Pattern Building, Pattern Recognition, Tile Placement"
Junta,1978.0,5397,8555.0,2.87,"Area Movement, Dice Rolling, Hand Management, Simultaneous Action Selection, Trading, Variable Player Powers, Voting"
English Civil War,1978.0,41,109.0,2.0,"Area Majority / Influence, Area Movement, Minimap Resolution, Movement Points, Simulation"
Operation Crusader,1978.0,71,210.0,3.79,"Hexagon Grid, Simulation"
"War in the Pacific: The Campaign Against Imperial Japan, 1941-45",1978.0,84,337.0,4.77,"Dice Rolling, Hexagon Grid, Simulation"
Bismarck (Second Edition),1978.0,221,769.0,3.15,"Critical Hits and Failures, Dice Rolling, Grid Movement, Hexagon Grid, Hidden Movement, Measurement Movement, Minimap Resolution, Paper-and-Pencil, Scenario / Mission / Campaign Game, Secret Unit Deployment, Simulation, Simultaneous Action Selection, Square Grid"
Objective Moscow: The Death of Soviet Communism,1978.0,103,289.0,4.0,"Hexagon Grid, Simulation"
Spellmaker,1978.0,56,133.0,1.82,Pick-up and Deliver
Dawn of the Dead,1978.0,221,492.0,2.15,"Dice Rolling, Grid Movement, Line of Sight, Movement Points, Ratio / Combat Results Table, Simulation, Solo / Solitaire Game, Square Grid, Variable Player Powers, Variable Set-up"
Fish & Chips,1978.0,31,56.0,2.2,
The Battle of Guilford Courthouse,1978.0,56,205.0,2.5,"Dice Rolling, Grid Movement, Hexagon Grid, Simulation"
The Lord of the Rings Adventure Game,1978.0,68,162.0,1.9,"Dice Rolling, Hand Management, Pick-up and Deliver"
Win Place Show,1978.0,34,77.0,2.0,"Betting and Bluffing, Hand Management"
Quizzle,1978.0,37,80.0,2.25,Tile Placement
"Lille: The Classic Vauban Siege, 1708",1978.0,37,100.0,3.29,"Point to Point Movement, Simulation"
Mayday,1978.0,147,465.0,2.25,"Action Queue, Dice Rolling, Grid Movement, Hexagon Grid, Scenario / Mission / Campaign Game, Simulation"
Ice War,1978.0,129,442.0,2.15,"Dice Rolling, Grid Movement, Hexagon Grid, Hidden Movement, Movement Points, Paper-and-Pencil, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Variable Set-up, Zone of Control"
Agincourt: The Triumph of Archery over Armor,1978.0,78,321.0,2.86,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Simulation"
The Battle of the Alma,1978.0,68,280.0,2.45,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Variable Set-up, Zone of Control"
Neutron,1978.0,55,70.0,2.11,Point to Point Movement
Olympica,1978.0,111,472.0,2.22,"Dice Rolling, Grid Movement, Hexagon Grid, Ratio / Combat Results Table, Secret Unit Deployment, Simulation, Variable Set-up"
The Siege of Constantinople: The End of the Middles Ages,1978.0,183,768.0,2.93,"Dice Rolling, Hexagon Grid, Ratio / Combat Results Table"
Password Plus,1978.0,32,102.0,1.5,
Marrakesh,1978.0,60,101.0,2.0,"Dice Rolling, Simultaneous Action Selection"
Sticks & Stones,1978.0,146,465.0,1.75,"Dice Rolling, Hexagon Grid"
This Game is Bonkers!,1978.0,561,1139.0,1.31,"Dice Rolling, Hand Management, Roll / Spin and Move, Tile Placement"
Iliad: The Siege of Troy,1978.0,41,101.0,2.43,"Dice Rolling, Events, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Simulation, Zone of Control"
Discretion,1978.0,52,75.0,3.0,Auction/Bidding
The Battle of Lobositz,1978.0,72,233.0,2.08,"Dice Rolling, Grid Movement, Hexagon Grid, Simulation"
War in the Ice: The Battle for the Seventh Continent,1978.0,113,358.0,2.76,"Dice Rolling, Hexagon Grid"
Heart of Oak: Naval Miniatures Rules for the Age of Fighting Sail,1978.0,49,138.0,3.6,"Bias, Dice Rolling, Measurement Movement, Scenario / Mission / Campaign Game, Simulation"
Grand Imperialism,1978.0,78,171.0,2.2,"Area Majority / Influence, Area Movement, Card Drafting, Dice Rolling"
Simon de Montfort,1979.0,32,112.0,3.0,Hexagon Grid
StarGate,1979.0,75,325.0,2.33,Hexagon Grid
Ultimatum: A Game of Nuclear Confrontation,1979.0,121,349.0,3.05,"Dice Rolling, Hexagon Grid"
Double Star,1979.0,47,235.0,3.67,"Dice Rolling, Events, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Variable Set-up"
Bloodtree Rebellion: Guerilla Warfare on the Planet Somber,1979.0,65,253.0,3.17,"Dice Rolling, Events, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Simulation, Zone of Control"
Titan Strike!,1979.0,79,324.0,2.57,Hexagon Grid
Imperium Romanum: The Clash of Legions,1979.0,35,168.0,3.5,"Dice Rolling, Hexagon Grid"
Iliad: The Most Renowned War Legend,1979.0,69,175.0,2.71,"Dice Rolling, Grid Movement, Paper-and-Pencil, Square Grid, Team-Based Game"
Full House,1979.0,127,251.0,1.4,Roll / Spin and Move
Chinese Civil War,1979.0,49,260.0,2.86,Hexagon Grid
Swordquest,1979.0,33,141.0,2.0,Hexagon Grid
Murfreesboro: A Game of the Battle of Stones River,1979.0,35,161.0,3.33,"Dice Rolling, Events, Grid Movement, Hexagon Grid, Line of Sight, Movement Points, Paper-and-Pencil, Ratio / Combat Results Table, Simulation, Zone of Control"
Colonisator: The Twelve Planets' War,1979.0,82,207.0,2.64,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Race"
Reich: The Iron Dream of German Unification,1979.0,33,116.0,2.83,"Area Majority / Influence, Area Movement, Card Drafting, Income, Player Elimination"
Cerberus: The Proxima Centauri Campaign,1979.0,65,232.0,2.63,"Dice Rolling, Grid Movement, Hexagon Grid, Simulation"
USAC Auto Racing,1979.0,208,449.0,1.67,Roll / Spin and Move
"Robert at Bannockburn: The Battle of Bannockburn, 1314",1979.0,36,97.0,2.67,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Simulation"
"Belter: Mining the Asteroids, 2076",1979.0,77,303.0,3.21,"Dice Rolling, Grid Movement, Hexagon Grid, Ratio / Combat Results Table, Simulation"
The Beastlord,1979.0,102,352.0,3.13,"Dice Rolling, Grid Movement, Hexagon Grid, Hidden Movement, Minimap Resolution, Secret Unit Deployment, Simulation"
MechWar 2: Red Star / White Star,1979.0,44,159.0,4.27,"Dice Rolling, Grid Movement, Hexagon Grid, Modular Board, Movement Points, Paper-and-Pencil, Scenario / Mission / Campaign Game, Simulation, Variable Set-up"
The Campaign for North Africa: The Desert War 1940-43,1979.0,146,385.0,4.71,"Dice Rolling, Hexagon Grid, Simulation"
"Tamburlaine the Great: The Battle of Angorra, 1402",1979.0,39,113.0,2.5,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Simulation"
Raiders and Traders: The Heroic Age of Greece,1979.0,32,110.0,2.6,"Area Movement, Dice Rolling, Movement Points, Simulation"
Marine: 2002 - A Game of the First Lunar War,1979.0,84,331.0,2.94,"Dice Rolling, Hexagon Grid, Line of Sight, Modular Board, Paper-and-Pencil, Scenario / Mission / Campaign Game, Simulation, Three Dimensional Movement"
Middle Sea: Empires of the Feudal Age,1979.0,34,112.0,2.33,"Action Queue, Area Majority / Influence, Area Movement, Area-Impulse, Dice Rolling, Events, Paper-and-Pencil, Player Judge, Secret Unit Deployment, Simultaneous Action Selection, Variable Set-up"
Asteroid Zero-Four,1979.0,54,155.0,2.57,"Dice Rolling, Hexagon Grid, Simulation"
Alien,1979.0,60,127.0,1.0,"Dice Rolling, Race, Roll / Spin and Move, Static Capture"
Let's Go Fishin',1979.0,556,820.0,1.11,
Dead Stop!,1979.0,37,98.0,1.75,
Okinawa: The Bloodiest Battle of the Pacific Ocean,1979.0,99,243.0,3.05,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Secret Unit Deployment, Simulation, Variable Set-up, Zone of Control"
Guess Who?,1979.0,4715,7576.0,1.12,
The Mad Magazine Game,1979.0,1405,2869.0,1.2,Roll / Spin and Move
The Allowance Game,1979.0,63,185.0,1.0,Roll / Spin and Move
Movies and Money,1979.0,49,110.0,1.0,
Book of Lists Game,1979.0,45,148.0,1.09,Betting and Bluffing
Intern,1979.0,65,221.0,1.33,Roll / Spin and Move
Kensington,1979.0,440,1087.0,2.24,Point to Point Movement
Panzer Battles: Tactical Armored Warfare in World War II,1979.0,111,577.0,2.94,"Dice Rolling, Grid Movement, Hexagon Grid, Line of Sight, Movement Points, Scenario / Mission / Campaign Game, Simulation"
Superpoly,1979.0,71,147.0,2.25,"Auction/Bidding, Player Elimination, Roll / Spin and Move, Set Collection, Stock Holding, Trading"
Holy War,1979.0,97,420.0,2.07,"Dice Rolling, Grid Movement, Hexagon Grid, Hidden Movement, Paper-and-Pencil, Simulation, Three Dimensional Movement, Variable Set-up"
Rolling Thunder,1979.0,35,133.0,4.11,"Dice Rolling, Hexagon Grid, Scenario / Mission / Campaign Game, Simulation"
Vagabondo,1979.0,35,121.0,1.6,Tile Placement
Hot Spot,1979.0,76,330.0,1.4,"Dice Rolling, Grid Movement, Hexagon Grid, Paper-and-Pencil, Ratio / Combat Results Table, Simulation, Variable Set-up"
Vector 3,1979.0,77,287.0,2.4,"Dice Rolling, Hexagon Grid"
Darkover,1979.0,107,281.0,2.5,"Area Majority / Influence, Area Movement, Card Drafting, Events, Paper-and-Pencil, Rock-Paper-Scissors, Sudden Death Ending, Variable Player Powers, Variable Set-up"
Strolling Bowling,1979.0,35,67.0,1.0,
Super Simon,1979.0,35,99.0,1.0,"Cooperative Game, Memory, Pattern Recognition"
Screwball Scramble,1979.0,320,528.0,1.32,
Seti,1979.0,33,95.0,1.33,Grid Movement
Commando,1979.0,74,256.0,3.47,"Critical Hits and Failures, Dice Rolling, Events, Grid Movement, Role Playing, Scenario / Mission / Campaign Game, Simulation"
The China War: Sino-Soviet Conflict in the 1980s,1979.0,172,755.0,2.59,"Dice Rolling, Events, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation"
Battle: The Game of Strategy,1979.0,59,177.0,1.86,"Grid Movement, Hexagon Grid, Movement Points, Secret Unit Deployment, Simulation, Variable Set-up"
Time War: A Game of Time Travel and Conflict,1979.0,63,307.0,3.25,"Area Movement, Dice Rolling, Secret Unit Deployment, Simultaneous Action Selection, Tug of War"
Demons,1979.0,121,446.0,2.0,"Dice Rolling, Events, Grid Movement, Hexagon Grid, Movement Points, Pick-up and Deliver, Player Elimination, Ratio / Combat Results Table, Simulation"
Point-Blank,1979.0,83,200.0,1.33,"Area Majority / Influence, Enclosure, Network and Route Building"
Touché,1979.0,358,652.0,1.4,Pattern Building
Prochorovka: Armor at Kursk,1979.0,71,260.0,2.29,Hexagon Grid
The American Dream Game,1979.0,57,145.0,1.33,"Auction/Bidding, Stock Holding, Trading"
Battlestar Galactica,1979.0,58,172.0,2.75,"Action Queue, Events, Grid Movement, Hexagon Grid, Modular Board, Paper-and-Pencil, Scenario / Mission / Campaign Game, Simultaneous Action Selection, Team-Based Game"
Star Fleet Battles (Designer's Edition),1979.0,100,272.0,3.86,"Hexagon Grid, Simulation"
La Bataille d'Espagnol: Talavera,1979.0,123,474.0,3.83,Hexagon Grid
Bonaparte in Italy,1979.0,122,415.0,3.17,"Hexagon Grid, Simulation"
Zargo's Lords: Magic Duels for World Power,1979.0,195,348.0,3.0,Hexagon Grid
"Panzer: A Tactical Game of Armored Combat on the Eastern Front, 1941-1945",1979.0,129,420.0,3.75,"Dice Rolling, Events, Grid Movement, Hexagon Grid, Line of Sight, Scenario / Mission / Campaign Game, Simulation"
The Sword and the Flame,1979.0,111,249.0,2.4,"Measurement Movement, Simulation, Turn Order: Random"
"White Death: Velikiye Luki, The Stalingrad of the North",1979.0,119,401.0,3.21,"Dice Rolling, Hexagon Grid"
Hyle,1979.0,190,333.0,2.86,"Grid Movement, Pattern Building, Tile Placement, Variable Player Powers"
The Legend of Robin Hood,1979.0,411,1045.0,2.09,"Area Movement, Dice Rolling, Events, Movement Points, Ratio / Combat Results Table, Simulation"
Leningrad,1979.0,257,737.0,1.94,"Dice Rolling, Hexagon Grid, Simulation"
Title Bout,1979.0,284,533.0,2.18,"Area Movement, Simulation, Simultaneous Action Selection, Variable Player Powers"
Ney vs. Wellington: The Battle of Quatre Bras,1979.0,238,870.0,3.59,"Dice Rolling, Hexagon Grid"
Samurai: Game of Politics and Warfare in Feudal Japan,1979.0,427,1128.0,2.63,"Area Movement, Dice Rolling, Movement Points, Ratio / Combat Results Table, Simulation, Turn Order: Progressive"
Starfire,1979.0,296,662.0,2.7,"Action Points, Hexagon Grid, Modular Board, Simulation, Variable Player Powers"
Naval War,1979.0,779,1246.0,1.38,"Dice Rolling, Events, Hand Management, Paper-and-Pencil, Take That, Team-Based Game"
The Creature That Ate Sheboygan,1979.0,518,1152.0,1.65,"Area Movement, Dice Rolling, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Variable Player Powers, Variable Set-up"
The Ironclads: A Tactical Level Game of Naval Combat in the American Civil War 1861-1865,1979.0,253,751.0,3.51,"Dice Rolling, Grid Movement, Hexagon Grid, Line of Sight, Movement Template, Simulation"
Bloody Buna,1979.0,39,148.0,3.3,"Dice Rolling, Grid Movement, Hexagon Grid, Simulation, Zone of Control"
The Longest Day,1979.0,434,1014.0,4.15,"Dice Rolling, Events, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Team-Based Game"
"Freedom in the Galaxy: The Star Rebellions, 5764 AD",1979.0,656,1907.0,3.94,"Action/Event, Area Movement, Ratio / Combat Results Table, Roles with Asymmetric Information, Scenario / Mission / Campaign Game, Secret Unit Deployment"
Divine Right,1979.0,551,1093.0,3.18,"Card Drafting, Dice Rolling, Events, Grid Movement, Hexagon Grid, Movement Points, Player Elimination, Simulation, Variable Phase Order, Variable Player Powers"
Star Fleet Battles,1979.0,1247,1766.0,4.18,"Hexagon Grid, Impulse Movement, Point to Point Movement, Simultaneous Action Selection"
The Awful Green Things From Outer Space,1979.0,2540,4531.0,1.87,"Area Movement, Dice Rolling, Movement Points, Simulation"
The Penguin Book of Card Games,1979.0,54,117.0,2.0,"Auction/Bidding, Betting and Bluffing, Hand Management, Memory, Pattern Building, Set Collection, Team-Based Game, Trading, Trick-taking"
Big Boggle,1979.0,1362,2467.0,1.53,Pattern Recognition
Magic Realm,1979.0,1979,3787.0,4.53,"Action Queue, Dice Rolling, Events, Modular Board, Paper-and-Pencil, Player Elimination, Point to Point Movement, Role Playing, Simultaneous Action Selection, Variable Player Powers, Variable Set-up"
Wizard's Quest,1979.0,1412,3377.0,2.26,"Area Movement, Dice Rolling, Simulation, Variable Phase Order"
Stop Thief,1979.0,855,1612.0,1.68,"Dice Rolling, Grid Movement, Hidden Movement, Memory"
Napoleon at Leipzig,1979.0,247,763.0,2.9,"Hexagon Grid, Simulation, Solo / Solitaire Game"
Dampfross,1979.0,787,1748.0,2.19,"Crayon Rail System, Network and Route Building"
Railway Rivals,1979.0,389,663.0,2.33,Line Drawing
Um Reifenbreite,1979.0,2193,3631.0,1.96,"Hand Management, Roll / Spin and Move"
C.V.: A Game of the Battle of Midway,1979.0,97,338.0,3.75,"Critical Hits and Failures, Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Paper-and-Pencil, Scenario / Mission / Campaign Game, Secret Unit Deployment, Simulation, Simultaneous Action Selection"
Circus Maximus,1979.0,1579,2873.0,2.65,"Action Points, Action Queue, Betting and Bluffing, Dice Rolling, Grid Movement, Hexagon Grid, Paper-and-Pencil, Player Elimination, Push Your Luck, Scenario / Mission / Campaign Game, Variable Player Powers"
Road to the Rhine,1979.0,103,381.0,3.36,"Dice Rolling, Hexagon Grid"
"Arcola: The Battle for Italy, 1796",1979.0,201,759.0,2.51,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Zone of Control"
Star Trek Game,1979.0,79,226.0,1.75,"Modular Board, Pick-up and Deliver, Roll / Spin and Move"
Electronic Detective,1979.0,108,218.0,2.0,"Deduction, Paper-and-Pencil, Player Elimination, Variable Set-up"
Starfall,1979.0,102,357.0,3.06,"Action Points, Dice Rolling, Grid Movement, Hexagon Grid, Simulation"
Hundred Days Battles,1979.0,200,758.0,2.7,"Dice Rolling, Grid Movement, Hexagon Grid, Ratio / Combat Results Table, Simulation"
Battle of the Bulge,1979.0,102,326.0,2.44,"Dice Rolling, Hexagon Grid, Simulation, Zone of Control"
The Thin Red Line: A Game of the Battle of Waterloo,1979.0,78,249.0,2.73,
Amirauté,1979.0,57,143.0,3.0,"Movement Template, Paper-and-Pencil"
DeathMaze,1979.0,242,613.0,1.69,"Cooperative Game, Dice Rolling, Events, Modular Board, Paper-and-Pencil, Role Playing, Scenario / Mission / Campaign Game, Tile Placement, Variable Player Powers, Variable Set-up"
Destroyer Captain,1979.0,42,172.0,3.0,"Dice Rolling, Hexagon Grid, Simulation"
Imperial Governor & Strategos,1979.0,64,155.0,2.2,"Hexagon Grid, Simulation"
Mad Magazine Card Game,1979.0,400,946.0,1.11,"Hand Management, Lose a Turn, Matching, Take That"
Alaska,1979.0,374,622.0,1.44,"Pick-up and Deliver, Tile Placement"
"Marita-Merkur: The Campaign in the Balkans, 1940-41",1979.0,89,388.0,3.9,"Dice Rolling, Hexagon Grid, Simulation"
Snapshot,1979.0,142,469.0,2.19,"Action Points, Dice Rolling, Grid Movement, Line of Sight, Role Playing, Square Grid"
Dune,1979.0,5491,6333.0,3.44,"Alliances, Area Majority / Influence, Area Movement, Auction/Bidding, Hand Management, Map Deformation, Team-Based Game, Variable Player Powers"
