Name,Year Published,Users Rated,Owned Users,Complexity Average,Mechanics
Gettysburg: Three Days in July,1995.0,37,112.0,2.5,"Hexagon Grid, Secret Unit Deployment, Simulation"
The Dragon’s Wrath,1995.0,36,86.0,2.0,Card Drafting
Heavy Gear Fighter,1995.0,39,135.0,2.67,"Action Points, Variable Player Powers"
Gridiron Fantasy Football,1995.0,53,121.0,2.13,"Auction/Bidding, Rock-Paper-Scissors, Variable Player Powers"
Material World,1995.0,74,222.0,3.0,"Area Movement, Dice Rolling, Network and Route Building, Set Collection"
Nuba,1995.0,52,110.0,2.0,"Grid Movement, Square Grid"
Tricks,1995.0,60,218.0,1.43,Trick-taking
Bunker Hill,1995.0,69,395.0,3.13,"Dice Rolling, Hexagon Grid"
Kampf um Rom,1995.0,37,129.0,3.2,"Area Majority / Influence, Area Movement"
Am Fuß des Kilimandscharo,1995.0,90,212.0,1.2,"Hand Management, Take That"
Antietam Campaign,1995.0,31,121.0,3.0,"Dice Rolling, Hexagon Grid, Simulation, Zone of Control"
Blood on the Tigris,1995.0,61,307.0,3.2,Hexagon Grid
"Bélisaire, la gloire de Byzance",1995.0,36,195.0,2.86,Area Movement
Indo-Pakistani Wars,1995.0,51,320.0,3.18,"Hexagon Grid, Simulation"
Shopping List,1995.0,107,241.0,1.0,"Memory, Set Collection"
Golem,1995.0,32,33.0,1.33,"Set Collection, Variable Player Powers"
Rebels & Redcoats: Volume II,1995.0,45,196.0,2.71,Hexagon Grid
Bloodiest Day,1995.0,37,160.0,2.75,"Area Movement, Area-Impulse, Dice Rolling, Simulation"
Borodino '41,1995.0,53,227.0,3.57,"Dice Rolling, Hexagon Grid"
The '45,1995.0,60,210.0,3.57,"Dice Rolling, Point to Point Movement, Simulation"
Molotov's War,1995.0,63,290.0,2.38,Hexagon Grid
Hatalom Kártyái Kártyajáték,1995.0,34,47.0,3.75,"Hand Management, Player Elimination"
Quest for the Grail,1995.0,57,149.0,2.17,
Marignan 1515,1995.0,38,184.0,2.8,"Dice Rolling, Hexagon Grid, Ratio / Combat Results Table, Simulation"
Wildstorms,1995.0,56,127.0,3.0,Modular Board
Blood on the Snow: The Battle of Suomussalmi,1995.0,87,353.0,2.72,"Chit-Pull System, Dice Rolling, Hexagon Grid"
Bakschisch,1995.0,119,233.0,1.8,"Auction/Bidding, Simultaneous Action Selection"
New York,1995.0,50,106.0,2.17,Hand Management
Ironman Football,1995.0,42,73.0,2.2,
Woods & Water,1995.0,48,99.0,1.25,"Card Drafting, Roll / Spin and Move"
Jenga Ultimate,1995.0,103,204.0,1.0,Dice Rolling
